,Title,Link
0,Makita DHP453STE 18V 5.0Ah Li-Ion LXT  Cordless Combi Drill,https://www.screwfix.com/p/makita-dhp453ste-18v-5-0ah-li-ion-lxt-cordless-combi-drill/487kg
1,DeWalt DCD778P2T-SFGB 18V 5.0Ah Li-Ion XR Brushless Cordless Combi Drill,https://www.screwfix.com/p/dewalt-dcd778p2t-sfgb-18v-5-0ah-li-ion-xr-brushless-cordless-combi-drill/906kv
2,DeWalt DCD776D2T- GB 18V 2.0Ah Li-Ion XR  Cordless Combi Drill,https://www.screwfix.com/p/dewalt-dcd776d2t-gb-18v-2-0ah-li-ion-xr-cordless-combi-drill/899cf
3,DeWalt DCH033 3kg 18V 4.0Ah Li-Ion XR Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/dewalt-dch033-3kg-18v-4-0ah-li-ion-xr-brushless-cordless-sds-plus-drill/675fj
4,Titan TTB278SDS 6.3kg  Electric SDS Plus Drill & 9 Piece Accessory Kit 230-240V,https://www.screwfix.com/p/titan-ttb278sds-6-3kg-electric-sds-plus-drill-9-piece-accessory-kit-230-240v/97533
5,Bosch GSB 18 V-55 18V 2.0Ah Li-Ion Coolpack Brushless Cordless Combi Drill,https://www.screwfix.com/p/bosch-gsb-18-v-55-18v-2-0ah-li-ion-coolpack-brushless-cordless-combi-drill/964kp
6,Milwaukee M18 CBLPD-402C 18V 4.0Ah Li-Ion RedLithium Brushless Cordless Combi Drill,https://www.screwfix.com/p/milwaukee-m18-cblpd-402c-18v-4-0ah-li-ion-redlithium-brushless-cordless-combi-drill/702fh
7,Erbauer ERH18-Li 2.7kg 18V 4.0Ah Li-Ion EXT Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/erbauer-erh18-li-2-7kg-18v-4-0ah-li-ion-ext-brushless-cordless-sds-plus-drill/322fv
8,DeWalt DCH323T2-GB 4.7kg 54V 6.0Ah Li-Ion XR FlexVolt Brushless Cordless SDS Plus Drill,https://www.screwfix.com/p/dewalt-dch323t2-gb-4-7kg-54v-6-0ah-li-ion-xr-flexvolt-brushless-cordless-sds-plus-drill/5556t
9,Titan TTB631SDS 6.3kg  Electric SDS Plus Drill & 22 Piece Accessory Kit 230-240V,https://www.screwfix.com/p/titan-ttb631sds-6-3kg-electric-sds-plus-drill-22-piece-accessory-kit-230-240v/4172g
